coarse,fine,english,indo
ABBR,abb,What is the abbreviation for Original Equipment Manufacturer ?,Apa singkatan untuk Original Equipment Manufacturer?
ABBR,abb,What is the abbreviation of the International Olympic Committee ?,Apa singkatan dari Komite Olimpiade Internasional?
ENTY,animal,What animal migrates the farthest ?,Hewan apa yang bermigrasi paling jauh?
ENTY,animal,What is the largest snake in the world ?,Apa ular terbesar di dunia?
ENTY,animal,What animal was the heat-seeking missile called the Sidewinder named for ?,Binatang apa yang disebut sebagai rudal pencari panas yang dinamai Sidewinder?
ENTY,animal,Name a flying mammal .,Sebutkan mamalia terbang.
ENTY,animal,What rabbit got its name because its ears resembled those of a jackass ?,Apa kelinci mendapatkan namanya karena telinganya menyerupai orang-orang bodoh?
ENTY,body,What are the main blood vessels ?,Apa pembuluh darah utama?
ENTY,body,Where is the human skin least sensitive ?,Di mana kulit manusia paling tidak sensitif?
LOC,city,What North American city would you visit to see Cleopatra 's Needle ?,Kota Amerika Utara apa yang akan Anda kunjungi untuk melihat Jarum Cleopatra?
LOC,city,What Russian seaport has a name meaning  Lord of the East  ?,Apa nama pelabuhan Rusia yang berarti Penguasa Timur?
LOC,city,"What two Japanese cities are spelled with the letters K , O , O , T and Y ?","Apa dua kota Jepang dieja dengan huruf K, O, O, T dan Y?"
LOC,city,What is the snowiest city in the U.S. ?,Apa kota paling bersalju di AS?
LOC,city,What city gained renown for its pea-soup fogs ?,Kota apa yang terkenal karena kabut sup kacang polongnya?
LOC,city,What U.S. city is known as The Rubber Capital of the World ?,Apa kota AS yang dikenal sebagai Ibukota Karet Dunia?
NUM,code,What seven digits follow the area code in the number for long distance information ?,Tujuh digit apa yang mengikuti kode area dalam angka untuk informasi jarak jauh?
NUM,code,What is the airport code for Los Angeles International ?,Apa kode bandara untuk Los Angeles International?
ENTY,color,What hair color can I use to just cover a little gray ?,Warna rambut apa yang bisa saya gunakan untuk menutupi sedikit uban?
ENTY,color,What are the three secondary colors ?,Apa tiga warna sekunder?
ENTY,color,What color eyes are most sensitive to light ?,Mata warna apa yang paling sensitif terhadap cahaya?
ENTY,color,What color are school buses ?,Apa warna bus sekolah?
NUM,count,How many years is Johnnie Walker Black Label aged ?,Berapa tahun usia Label Hitam Johnnie Walker?
NUM,count,How many equal angles are there in an isosceles triangle ?,Berapa banyak sudut sama yang ada dalam segitiga sama kaki?
NUM,count,How many species of sharks are there ?,Ada berapa spesies hiu?
NUM,count,How many people died on D-Day ?,Berapa banyak orang yang meninggal pada D-Day?
NUM,count,How many different types of skunks are there ?,Berapa banyak jenis sigung yang ada?
NUM,count,How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?,"Berapa banyak anak laki - laki yang memainkan permainan dalam lukisan Winslow Homer 1872, Snap the Whip?"
NUM,count,How many colonies were involved in the American Revolution ?,Berapa banyak koloni yang terlibat dalam Revolusi Amerika?
NUM,count,How many degrees cooler is the inside of a cucumber than the air outside ?,Berapa derajat lebih dingin bagian dalam mentimun daripada udara di luar?
NUM,count,How many colleges are in Wyoming ?,Berapa banyak perguruan tinggi di Wyoming?
NUM,count,How many questions are on this thing ?,Berapa banyak pertanyaan tentang hal ini?
NUM,count,How much salt is in the oceans ?,Berapa banyak garam di lautan?
NUM,count,How many real fruit juices are there in a can of Hawaiian Punch ?,Berapa banyak jus buah asli yang ada dalam kaleng Punch Hawaii?
NUM,count,How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,Berapa banyak dari setiap 10 anggota Asosiasi Koboi Rodeo yang tidak pernah bekerja di peternakan?
NUM,count,How many innings are there in a regulation softball game ?,Berapa banyak inning yang ada dalam game softball regulasi?
NUM,count,How many Vietnamese were there in the Soviet Union ?,Berapa banyak orang Vietnam di Uni Soviet?
NUM,count,How many Grammys did Michael Jackson win in 1983 ?,Berapa banyak Grammy yang dimenangkan Michael Jackson pada tahun 1983?
NUM,count,How many types of dogs ' tails are there - three,Ada berapa jenis ekor anjing - tiga
LOC,country,What country is famous for Persian rugs ?,Negara apa yang terkenal dengan permadani Persia?
LOC,country,What two South American countries do n't border Brazil ?,Apa dua negara Amerika Selatan yang tidak berbatasan dengan Brasil?
