,coarse,fine,english,indo
0,ABBR,abb,What is the abbreviation for Original Equipment Manufacturer ?,Apa singkatan untuk Original Equipment Manufacturer?
1,ABBR,abb,What is the abbreviation of the International Olympic Committee ?,Apa singkatan dari Komite Olimpiade Internasional?
2,ENTY,animal,What animal migrates the farthest ?,Hewan apa yang bermigrasi paling jauh?
3,ENTY,animal,What is the largest snake in the world ?,Apa ular terbesar di dunia?
4,ENTY,animal,What animal was the heat-seeking missile called the Sidewinder named for ?,Binatang apa yang disebut sebagai rudal pencari panas yang dinamai Sidewinder?
5,ENTY,animal,Name a flying mammal .,Sebutkan mamalia terbang.
6,ENTY,animal,What rabbit got its name because its ears resembled those of a jackass ?,Apa kelinci mendapatkan namanya karena telinganya menyerupai orang-orang bodoh?
7,ENTY,body,What are the main blood vessels ?,Apa pembuluh darah utama?
8,ENTY,body,Where is the human skin least sensitive ?,Di mana kulit manusia paling tidak sensitif?
9,LOC,city,What North American city would you visit to see Cleopatra 's Needle ?,Kota Amerika Utara apa yang akan Anda kunjungi untuk melihat Jarum Cleopatra?
10,LOC,city,What Russian seaport has a name meaning  Lord of the East  ?,Apa nama pelabuhan Rusia yang berarti Penguasa Timur?
11,LOC,city,"What two Japanese cities are spelled with the letters K , O , O , T and Y ?","Apa dua kota Jepang dieja dengan huruf K, O, O, T dan Y?"
12,LOC,city,What is the snowiest city in the U.S. ?,Apa kota paling bersalju di AS?
13,LOC,city,What city gained renown for its pea-soup fogs ?,Kota apa yang terkenal karena kabut sup kacang polongnya?
14,LOC,city,What U.S. city is known as The Rubber Capital of the World ?,Apa kota AS yang dikenal sebagai Ibukota Karet Dunia?
15,NUM,code,What seven digits follow the area code in the number for long distance information ?,Tujuh digit apa yang mengikuti kode area dalam angka untuk informasi jarak jauh?
16,NUM,code,What is the airport code for Los Angeles International ?,Apa kode bandara untuk Los Angeles International?
17,ENTY,color,What hair color can I use to just cover a little gray ?,Warna rambut apa yang bisa saya gunakan untuk menutupi sedikit uban?
18,ENTY,color,What are the three secondary colors ?,Apa tiga warna sekunder?
19,ENTY,color,What color eyes are most sensitive to light ?,Mata warna apa yang paling sensitif terhadap cahaya?
20,ENTY,color,What color are school buses ?,Apa warna bus sekolah?
21,NUM,count,How many years is Johnnie Walker Black Label aged ?,Berapa tahun usia Label Hitam Johnnie Walker?
22,NUM,count,How many equal angles are there in an isosceles triangle ?,Berapa banyak sudut sama yang ada dalam segitiga sama kaki?
23,NUM,count,How many species of sharks are there ?,Ada berapa spesies hiu?
24,NUM,count,How many people died on D-Day ?,Berapa banyak orang yang meninggal pada D-Day?
25,NUM,count,How many different types of skunks are there ?,Berapa banyak jenis sigung yang ada?
26,NUM,count,How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?,"Berapa banyak anak laki - laki yang memainkan permainan dalam lukisan Winslow Homer 1872, Snap the Whip?"
27,NUM,count,How many colonies were involved in the American Revolution ?,Berapa banyak koloni yang terlibat dalam Revolusi Amerika?
28,NUM,count,How many degrees cooler is the inside of a cucumber than the air outside ?,Berapa derajat lebih dingin bagian dalam mentimun daripada udara di luar?
29,NUM,count,How many colleges are in Wyoming ?,Berapa banyak perguruan tinggi di Wyoming?
30,NUM,count,How many questions are on this thing ?,Berapa banyak pertanyaan tentang hal ini?
31,NUM,count,How much salt is in the oceans ?,Berapa banyak garam di lautan?
32,NUM,count,How many real fruit juices are there in a can of Hawaiian Punch ?,Berapa banyak jus buah asli yang ada dalam kaleng Punch Hawaii?
33,NUM,count,How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?,Berapa banyak dari setiap 10 anggota Asosiasi Koboi Rodeo yang tidak pernah bekerja di peternakan?
34,NUM,count,How many innings are there in a regulation softball game ?,Berapa banyak inning yang ada dalam game softball regulasi?
35,NUM,count,How many Vietnamese were there in the Soviet Union ?,Berapa banyak orang Vietnam di Uni Soviet?
36,NUM,count,How many Grammys did Michael Jackson win in 1983 ?,Berapa banyak Grammy yang dimenangkan Michael Jackson pada tahun 1983?
37,NUM,count,How many types of dogs ' tails are there - three,Ada berapa jenis ekor anjing - tiga
38,LOC,country,What country is famous for Persian rugs ?,Negara apa yang terkenal dengan permadani Persia?
39,LOC,country,What two South American countries do n't border Brazil ?,Apa dua negara Amerika Selatan yang tidak berbatasan dengan Brasil?
40,LOC,country,What two countries fought the Hundred Years ' War ?,Apa dua negara yang bertempur dalam Perang Seratus Tahun?
41,LOC,country,Which country is known as  Big Bear  ?,Negara mana yang dikenal sebagai Big Bear?
42,LOC,country,What country offered Albert Einstein its presidency in 1952 ?,Negara apa yang menawarkan Albert Einstein sebagai presiden pada tahun 1952?
43,LOC,country,What country has the most coastline ?,Negara mana yang memiliki garis pantai paling banyak?
44,LOC,country,What 's the most powerful country in the world ?,Apa negara paling kuat di dunia?
45,ENTY,cremat,What is the Jewish bible called ?,Apa sebutan kitab suci Yahudi?
46,ENTY,cremat,What was the first video ever made ?,Apa video pertama yang pernah dibuat?
47,ENTY,cremat,What 1927 silent film received an international revival in 1981 ?,Apa film bisu tahun 1927 yang menerima kebangkitan internasional pada tahun 1981?
48,ENTY,cremat,What film featured a snarly character named Kid Shelleen ?,Film apa yang menampilkan karakter garang bernama Kid Shelleen?
49,ENTY,cremat,What was Jimmy Durante 's theme song ?,Apa lagu tema Jimmy Durante?
50,ENTY,cremat,What films featured the character Popeye Doyle ?,Film apa yang menampilkan karakter Popeye Doyle?
51,ENTY,cremat,What is a movie that Kevin Costner made about Sioux Indians ?,Apa film yang dibuat Kevin Costner tentang Sioux Indians?
52,ENTY,currency,What currency is used in Australia ?,Mata uang apa yang digunakan di Australia?
53,NUM,date,When is the Tulip Festival in Michigan ?,Kapan Festival Tulip di Michigan?
54,NUM,date,When did Jaco Pastorius die ?,Kapan Jaco Pastorius mati?
55,NUM,date,The Iraqis launched their attack on Kuwait on what day ?,Rakyat Irak melancarkan serangan mereka ke Kuwait pada hari apa?
56,NUM,date,What year did Charles Dicken die ?,Tahun berapa Charles Dicken mati?
57,NUM,date,When did Muhammad live ?,Kapan Muhammad hidup?
58,NUM,date,When was the Bill of Rights ratified ?,Kapan Bill of Rights disahkan?
59,NUM,date,What day was Pearl Harbor attacked in 1942 ?,Hari apa Pearl Harbor diserang pada tahun 1942?
60,NUM,date,When was the Berlin Wall erected ?,Kapan Tembok Berlin didirikan?
61,NUM,date,When was cigarette advertising banned on television and radio ?,Kapan iklan rokok dilarang di televisi dan radio?
62,NUM,date,When did French revolutionaries storm the Bastille ?,Kapan kaum revolusioner Prancis menyerbu Bastille?
63,DESC,def,How is thalassemia defined ?,Bagaimana thalassemia didefinisikan?
64,DESC,def,What is gymnophobia ?,Apa itu gymnophobia?
65,DESC,def,What is pasta ?,Apa itu pasta?
66,DESC,def,What are the seven virtues ?,Apa tujuh kebajikan itu?
67,DESC,def,What is Nitrox diving ?,Apa itu menyelam Nitrox?
68,DESC,def,What is Head Start ?,Apa itu Head Start?
69,DESC,def,What is ethology ?,Apa itu etologi?
70,DESC,def,What 's the meaning of UOL ?,Apa arti dari UOL?
71,DESC,def,What is a neurosurgeon ?,Apa itu ahli bedah saraf?
72,DESC,def,What is meant by the term  yield to maturity  in reference to bonds ?,Apa yang dimaksud dengan istilah yield to maturity mengacu pada obligasi?
73,DESC,def,What does storm wave mean in Japanese ?,Apa arti gelombang badai dalam bahasa Jepang?
74,DESC,desc,What 's the difference between sleet and freezing rain ?,Apa perbedaan antara hujan es dan hujan beku?
75,DESC,desc,What are you hearing when you put a seashell to your ear ?,Apa yang Anda dengar saat menaruh kerang di telinga?
76,DESC,desc,Where do chihuahuas come from ?,Dari mana chihuahua berasal?
77,DESC,desc,What did John F. Kennedy consider his greatest blunder in office ?,Apa yang John F. Kennedy anggap sebagai kesalahan terbesarnya di kantor?
78,DESC,desc,What is the song Stairway to Heaven by Led Zeppelin about ?,Tentang apakah lagu Stairway to Heaven oleh Led Zeppelin?
79,DESC,desc,What happens when a body part falls asleep ?,Apa yang terjadi ketika bagian tubuh tertidur?
80,DESC,desc,What 's the last line of Dickens 's A Christmas Carol ?,Apa baris terakhir dari Dickens's A Christmas Carol?
81,DESC,desc,What is the secret of the universe ?,Apa rahasia alam semesta?
82,DESC,desc,What are the requirements for becoming a citizen of Australia ?,Apa persyaratan untuk menjadi warga negara Australia?
83,DESC,desc,What ever happened to the once popular Yale Lock Company ?,Apa yang terjadi dengan Yale Lock Company yang dulu populer?
84,DESC,desc,What is the difference between college and graduate school ?,Apa perbedaan antara sekolah tinggi dan sekolah pascasarjana?
85,HUM,desc,Who is Imam Hussain Ben Ali whom Shia people believe in ?,Siapakah Imam Hussain Ben Ali yang dipercaya orang-orang Syiah?
86,HUM,desc,Who is Samuel F. Pickering ?,Siapakah Samuel F. Pickering?
87,HUM,desc,Who is Edmund Kemper ?,Siapakah Edmund Kemper?
88,HUM,desc,Who was Ezra Taft Benson ?,Siapa Ezra Taft Benson?
89,ENTY,dismed,What is a fear of gravity ?,Apa itu ketakutan akan gravitasi?
90,ENTY,dismed,What chemical in red wine is good for the heart and what exactly does it do to your body ?,Zat kimia apa dalam anggur merah yang baik untuk jantung dan apa pengaruhnya bagi tubuh Anda?
91,ENTY,dismed,What is a fear of jealousy ?,Apa itu ketakutan akan kecemburuan?
92,ENTY,dismed,What is a fear of bees ?,Apa itu takut akan lebah?
93,ENTY,dismed,What is a fear of cold ?,Apa itu ketakutan akan dingin?
94,ENTY,dismed,What 's the most common non-contagious disease in the world ?,Apa penyakit tidak menular yang paling umum di dunia?
95,NUM,dist,What is the length of border between the Ukraine and Russia ?,Berapa panjang perbatasan antara Ukraina dan Rusia?
96,NUM,dist,How tall is kilamanjaro ?,Berapa tinggi kilamanjaro?
97,NUM,dist,How far do you have to run if you hit a home run ?,Seberapa jauh Anda harus berlari jika mencapai home run?
98,ENTY,event,What was the name of the Protestant revolt against the supremacy of the Pope ?,Apa nama pemberontakan Protestan melawan supremasi Paus?
99,ENTY,event,What war did the Wanna-Go-Home Riots occur after ?,Perang apa yang terjadi setelah Kerusuhan Wanna-Go-Home?
100,ENTY,event,In what war was the first submarine used ?,Dalam perang apa kapal selam pertama digunakan?
101,ENTY,event,What historical event happened in Dogtown in 1899 ?,Peristiwa bersejarah apa yang terjadi di Dogtown pada tahun 1899?
102,ABBR,exp,What does the abbreviation IOC stand for ?,Untuk apa singkatan IOC?
103,ABBR,exp,What does the word LASER mean ?,Apa arti kata LASER?
104,ENTY,food,What do flatfish eat ?,Apa yang dimakan flatfish?
105,ENTY,food,What non-alcoholic syrup is made from pomegranate juice ?,Sirup non-alkohol apa yang terbuat dari jus delima?
106,ENTY,food,What were the first frozen foods ?,Apa makanan beku pertama?
107,ENTY,food,What 's the Southern dish made of pigs ' small intestines ?,Apa hidangan Selatan yang terbuat dari usus kecil babi?
108,ENTY,food,What is the most radioactive food ?,Apa makanan yang paling radioaktif?
109,ENTY,food,What is the most heavily caffeinated soft drink ?,Apa minuman ringan berkafein paling banyak?
110,HUM,gr,"Who provides telephone service in Orange County , California ?","Siapa yang menyediakan layanan telepon di Orange County, California?"
111,HUM,gr,What businesses in Alaska were affected by the Exxon Valdez oil spill ?,Bisnis apa di Alaska yang terkena dampak tumpahan minyak Exxon Valdez?
112,HUM,gr,What company produces Spumante ?,Perusahaan apa yang memproduksi Spumante?
113,HUM,gr,Who made the first airplane ?,Siapa yang membuat pesawat terbang pertama?
114,HUM,gr,"What company started out making pies , and wound up manufacturing plastic throwing toys ?","Perusahaan apa yang mulai membuat pai, dan akhirnya memproduksi mainan plastik yang dibuang?"
115,HUM,gr,What rock group raised a ruckus at the White House by singing American Woman ?,Kelompok rock apa yang menimbulkan keributan di Gedung Putih dengan menyanyikan American Woman?
116,HUM,gr,What are the top 10 colleges in the United States in the field of engineering ?,Apa saja 10 perguruan tinggi terbaik di Amerika Serikat di bidang teknik?
117,HUM,gr,What international organization was founded by Clara Barton ?,Organisasi internasional apa yang didirikan oleh Clara Barton?
118,HUM,gr,What are the five most popular Usenet groups ?,Apa lima kelompok Usenet paling populer?
119,HUM,ind,What was the nickname of German flying ace Manfred von Richthofen ?,Apa julukan dari manfred terbang Jerman Manfred von Richthofen?
120,HUM,ind,Who wrote ` The Pines of Rome ' ?,Siapa yang menulis `The Pines of Rome '?
121,HUM,ind,What is Drew Barrymore 's middle name ?,Apa nama tengah Drew Barrymore?
122,HUM,ind,Who directed Citizen Kane ?,Siapa yang mengarahkan Citizen Kane?
123,HUM,ind,What well-known actor is the father of star Alan Alda ?,Apa aktor terkenal adalah bapak bintang Alan Alda?
124,HUM,ind,Who was the founding member of the Pink Floyd band ?,Siapa anggota pendiri band Pink Floyd?
125,HUM,ind,Which Bloom County resident wreaks havoc with a computer ?,Warga Bloom County mana yang menimbulkan kekacauan dengan komputer?
126,HUM,ind,Who made a boat out of gopher wood ?,Siapa yang membuat perahu dari kayu gopher?
127,HUM,ind,What is Supergirl 's secret identity ?,Apa identitas rahasia Supergirl?
128,HUM,ind,Who won World War II ?,Siapa yang memenangkan Perang Dunia II?
129,HUM,ind,Who is the premier of China ?,Siapa perdana menteri Tiongkok?
130,HUM,ind,Who taught Matt Murdock to use his extraordinary abilities in Marvel comics ?,Siapa yang mengajari Matt Murdock untuk menggunakan kemampuannya yang luar biasa dalam komik Marvel?
131,HUM,ind,Who is the mathematician that won the Noble Prize for Literature in 1950 ?,Siapakah ahli matematika yang memenangkan Hadiah Nobel untuk Sastra pada tahun 1950?
132,HUM,ind,What Italian leader had a lifelong fear of the evil eye ?,Apa pemimpin Italia yang memiliki ketakutan seumur hidup terhadap mata jahat?
133,HUM,ind,Who is the actress Bette Davis once said she wished she looked like ?,Siapakah aktris Bette Davis pernah berkata dia berharap dia terlihat seperti?
134,HUM,ind,Who is Snoopy 's arch-enemy ?,Siapa musuh bebuyutan Snoopy?
135,HUM,ind,What actor first portrayed James Bond ?,Aktor apa yang pertama kali memerankan James Bond?
136,HUM,ind,What was the name of the lawyer who represented Randy Steven Craft ?,Siapa nama pengacara yang mewakili Randy Steven Craft?
137,HUM,ind,What is her husband 's name ?,Siapa nama suaminya?
138,HUM,ind,What is the last name of Lucy and Linus from the Peanut 's comic strip ?,Apa nama belakang Lucy dan Linus dari komik strip Peanut?
139,HUM,ind,What Civil War general wreaked havoc on the south by marching through Georgia on his way to the sea ?,Jenderal Perang Sipil apa yang mendatangkan malapetaka di selatan dengan berbaris melalui Georgia dalam perjalanan ke laut?
140,HUM,ind,What jockey won 17 Triple Crown races ?,Joki apa yang memenangkan 17 balapan Triple Crown?
141,HUM,ind,Which Doonesbury character was likely to turn into a werewolf ?,Karakter Doonesbury mana yang cenderung berubah menjadi manusia serigala?
142,HUM,ind,Who created Dennis the Menace ?,Siapa yang menciptakan Dennis the Menace?
143,HUM,ind,Who made the first surfboard ?,Siapa yang membuat papan selancar pertama?
144,HUM,ind,What 1920s cowboy star rode Tony the Wonder Horse ?,Apa bintang koboi tahun 1920-an mengendarai Tony the Wonder Horse?
145,HUM,ind,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,Pendahuluan komposer Rusia apa di C Sharp Minor memberinya ketenaran dan kekayaan?
146,HUM,ind,What was Marilyn Monroe 's real name ?,Siapa nama asli Marilyn Monroe?
147,HUM,ind,What are the names of Jack 's original roommates on Three 's Company ?,Apa nama teman sekamar asli Jack di Three's Company?
148,HUM,ind,"What 's the better-known identity of John Merrick , the noble ogre of Victorian England ?","Apa identitas yang lebih dikenal dari John Merrick, ogre bangsawan Inggris Victoria?"
149,ENTY,instru,What do West Indian steel bands use as instruments ?,Apa yang digunakan band baja India Barat sebagai instrumen?
150,ENTY,instru,Musician Ray Charles plays what instrument ?,Musisi Ray Charles memainkan alat musik apa?
151,ENTY,lang,What language is mostly spoken in Brazil ?,Bahasa apa yang paling banyak digunakan di Brasil?
152,ENTY,lang,What are the two languages of Malta ?,Apa dua bahasa Malta?
153,ENTY,letter,What letter adorns the flag of Rwanda ?,Surat apa yang menghiasi bendera Rwanda?
154,ENTY,letter,What letter is to the right of K on a typewriter keyboard ?,Apa huruf di sebelah kanan K pada keyboard mesin tik?
155,DESC,manner,How do you pronounce  Tzimisce  ?,Bagaimana Anda mengucapkan Tzimisce?
156,DESC,manner,How do I install a tile floor ?,Bagaimana cara memasang lantai ubin?
