coarse,fine,english,indo
ABBR,abb,What is the acronym for the rating system for air conditioner efficiency ?,Apa akronim untuk sistem peringkat untuk efisiensi AC?
ABBR,abb,What is the abbreviation of the National Bureau of Investigation ?,Apa singkatan dari Biro Investigasi Nasional?
ENTY,animal,What animal has the biggest eyes ?,Hewan apa yang memiliki mata terbesar?
ENTY,animal,What type of animal is the easiest kept pet there is ?,Apa jenis hewan peliharaan yang paling mudah dipelihara?
ENTY,animal,What 's the dumbest domesticated animal ?,Apa hewan peliharaan yang paling bodoh?
ENTY,animal,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?","Yang mana yang lebih dulu, menurut Kejadian 1: 2: 22 - ayam atau telur?"
ENTY,animal,What type is a snail ?,Apa jenis siput?
ENTY,body,What carries sperm up into the pelvic region ?,Apa yang membawa sperma ke daerah panggul?
ENTY,body,Which ear can most people hear better with ?,Dengan telinga manakah kebanyakan orang dapat mendengar dengan lebih baik?
LOC,city,What city has a newspaper called The Plain Dealer ?,Kota apa yang memiliki surat kabar bernama The Plain Dealer?
LOC,city,What city did the Flintstones live in ?,Di kota mana Flintstones tinggal?
LOC,city,What city is Logan Airport in ?,Di kota apa Bandara Logan?
LOC,city,What is the name of the city that Maurizio Pellegrin lives in ?,Apa nama kota tempat tinggal Maurizio Pellegrin?
LOC,city,What Russian city used to be called St. Petersburg and Petrograd ?,Apa kota Rusia dulu bernama St. Petersburg dan Petrograd?
LOC,city,What city is the Kentucky Horse Park near ?,Kota apa yang dekat dengan Taman Kuda Kentucky?
NUM,code,What is Columbia Tristar 's phone number ?,Berapa nomor telepon Columbia Tristar?
NUM,code,What seven digits follow the area code in the number for long distance information ?,Tujuh digit apa yang mengikuti kode area dalam angka untuk informasi jarak jauh?
ENTY,color,What colors make up a rainbow ?,Warna apa yang membentuk pelangi?
ENTY,color,What three colors are on the French flag ?,Apa tiga warna pada bendera Prancis?
ENTY,color,What color bottles do good Rhine wines come in ?,Botol warna apa yang menghasilkan anggur Rhine yang baik?
ENTY,color,What three colors of ink are used to print a U.S. dollar bill ?,Apa tiga warna tinta yang digunakan untuk mencetak uang kertas dolar AS?
NUM,count,How many acres in a mile ?,Berapa hektar dalam satu mil?
NUM,count,How many years did Shea & Gould practice law in Los Angeles ?,Berapa tahun Shea & Gould berlatih hukum di Los Angeles?
NUM,count,How many dots make up the symbol for  because  ?,Berapa banyak titik yang menjadi simbol karena?
NUM,count,How many wings does a flea have ?,Berapa sayap yang dimiliki kutu?
NUM,count,How many home runs did Lou Gehrig have during his career ?,Berapa banyak home run yang dimiliki Lou Gehrig selama karirnya?
NUM,count,How many people was Randy Craft convicted of murdering ?,Berapa banyak orang yang dihukum oleh Randy Craft atas pembunuhan?
NUM,count,How many syllables are there in a line of hendecasyllabic poetry ?,Berapa banyak suku kata yang ada dalam barisan puisi hendecasyllabic?
NUM,count,How many calories are there in a Big Mac ?,Berapa banyak kalori yang ada di Big Mac?
NUM,count,How many double-word-score spaces are there on a Scrabble Crossword Game board ?,Berapa banyak ruang skor dua kata yang ada di papan permainan Scrabble Crossword?
NUM,count,How many Gutenberg Bibles are there ?,Ada berapa Alkitab Gutenberg?
NUM,count,How many different languages are spoken in Europe ?,Berapa banyak bahasa berbeda yang digunakan di Eropa?
NUM,count,How many Beatles ' records went #1 ?,Berapa banyak catatan Beatles yang masuk # 1?
NUM,count,How many children under 18 are victims of some sort of Physical Abuse each year ?,Berapa banyak anak di bawah 18 tahun yang menjadi korban Pelecehan Fisik setiap tahun?
NUM,count,How many months does it take the moon to revolve around the Earth ?,Berapa bulan yang dibutuhkan bulan untuk berputar di sekitar Bumi?
NUM,count,How many American soldiers have died for their country to date ?,Berapa banyak tentara Amerika yang tewas di negara mereka hingga saat ini?
NUM,count,How many astronauts manned each Project Mercury flight ?,Berapa banyak astronot yang mengawaki setiap penerbangan Project Mercury?
NUM,count,How many frames does a disk camera shoot ?,Berapa banyak frame yang dipotret oleh kamera disk?
LOC,country,What African country was founded by freed American slaves in 1847 ?,Apa negara Afrika yang didirikan oleh budak-budak Amerika yang dibebaskan pada tahun 1847?
LOC,country,What country was A Terrible Beauty to Leon Uris ?,Negara apa yang Indah bagi Leon Uris?
LOC,country,What country did the Nazis occupy for 1 year?,Negara apa yang diduduki Nazi selama 1 tahun?
LOC,country,What is the country of origin for the name Thomas ?,Apa negara asal untuk nama Thomas?
LOC,country,What country do the Galapagos Islands belong to ?,Apa negara kepulauan Galapagos?
LOC,country,What country has the largest sheep population ?,Negara apa yang memiliki populasi domba terbesar?
LOC,country,What countries does the Mont Blanc Tunnel join ?,Negara apa saja yang bergabung dengan Mont Blanc Tunnel?
ENTY,cremat,What film marked Robert Redford 's directorial debut ?,Film apa yang menandai debut sutradara Robert Redford?
ENTY,cremat,What was the sequel to The Pink Panther ?,Apa sekuel dari The Pink Panther?
ENTY,cremat,What is the name of a book written by Aaron Hass ?,Apa nama buku yang ditulis oleh Aaron Hass?
ENTY,cremat,What is the best-selling book of all time ?,Apa buku terlaris sepanjang masa?
ENTY,cremat,What novel inspired the movie BladeRunner ?,Apa novel yang menginspirasi film BladeRunner?
ENTY,cremat,What was Mae West 's last film ?,Apa film terakhir Mae West?
ENTY,cremat,What movie did Madilyn Kahn star in with Gene Wilder ?,Film apa yang dibintangi Madilyn Kahn dengan Gene Wilder?
ENTY,currency,What money was used here ?,Uang apa yang digunakan di sini?
NUM,date,What year did Jack Nicklaus join the Professional Golfers Association tour ?,Tahun berapa Jack Nicklaus bergabung dengan tur Professional Golfers Association?
NUM,date,When was the first American encyclopedia published ?,Kapan ensiklopedia Amerika pertama kali diterbitkan?
NUM,date,When was the last major eruption of Mount St. Helens ?,Kapan letusan besar terakhir Gunung St. Helens?
NUM,date,When was the Triangle Shirtwaist fire ?,Kapan kebakaran Triangle Shirtwaist?
NUM,date,When does the average teenager first have intercourse ?,Kapan remaja rata-rata pertama kali melakukan hubungan intim?
NUM,date,When did Fraze get his first patent for the pull-tab can ?,Kapan Fraze mendapatkan paten pertamanya untuk tab penarik?
NUM,date,When did Nostradamus believe World War III would begin ?,Kapan Nostradamus percaya bahwa Perang Dunia III akan dimulai?
NUM,date,When did the Bounty mutiny take place ?,Kapan pemberontakan Bounty terjadi?
NUM,date,When did Rococo painting and architecture flourish ?,Kapan lukisan dan arsitektur Rococo berkembang?
NUM,date,What time of day did Emperor Hirohito die ?,Kapan hari Kaisar Hirohito mati?
DESC,def,What does the name  Sabrina  mean ?,Apa arti nama Sabrina?
DESC,def,What is Australia Day ?,Apa itu Hari Australia?
DESC,def,"What does caliente mean , in English ?","Apa arti caliente, dalam bahasa Inggris?"
DESC,def,What is film noir ?,Apa itu film noir?
DESC,def,What is a Guild ?,Apa itu Persekutuan?
DESC,def,What is Zionism ?,Apa itu Zionisme?
DESC,def,What are liver enzymes ?,Apa itu enzim hati?
DESC,def,What is the chemiosmotic theory ?,Apa teori chemiosmotic?
DESC,def,What is diabetes ?,Apa itu diabetes?
DESC,def,What are amphibians ?,Apa itu amfibi?
DESC,def,What is the hair style called that new military recruits receive ?,Seperti apa gaya rambut yang diterima oleh anggota baru militer?
DESC,desc,What is the difference between a generator and an alternator ?,Apa perbedaan antara generator dan alternator?
DESC,desc,Where did the term  86  come from ?,Dari mana datangnya istilah 86?
DESC,desc,What information can you get me on Fairground Park in St. Louis,Informasi apa yang bisa Anda dapatkan di Fairground Park di St. Louis
DESC,desc,What baseball expression came from the nautical term for ships sailing between the Atlantic and Pacific before the Panama Canal ?,Apa ungkapan bisbol berasal dari istilah bahari untuk kapal yang berlayar antara Atlantik dan Pasifik sebelum Terusan Panama?
DESC,desc,What is the difference between a median and a mean ?,Apa perbedaan antara median dan mean?
DESC,desc,What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,Apa kontribusi sastra Christopher Marlowe dan Shakespeare terhadap sastra Inggris?
DESC,desc,"What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?","Apa kesamaan yang dimiliki oleh Caroll Baker, Tammy Grimes, Debbie Reynolds, dan Judy Garland?"
DESC,desc,What do I need to learn to design web pages ?,Apa yang perlu saya pelajari untuk mendesain halaman web?
DESC,desc,What is the origin of the first name ` Breony ' ?,Apa asal nama pertama `Breony '?
DESC,desc,What did John Hinckley do to impress Jodie Foster ?,Apa yang dilakukan John Hinckley untuk mengesankan Jodie Foster?
DESC,desc,What 's the difference and advantages of selecting a Super VHS VCR over plain VHS model ?,Apa perbedaan dan kelebihan memilih VCR Super VHS dibandingkan model VHS biasa?
HUM,desc,Who is Zebulon Pike ?,Siapakah Zebulon Pike?
HUM,desc,Who was Jinnah ?,Siapakah Jinnah?
HUM,desc,Who was Buffalo Bill ?,Siapakah Buffalo Bill?
HUM,desc,Who was Maria Theresa ?,Siapakah Maria Theresa?
ENTY,dismed,What disease is the second-biggest killer of North Americans ?,Penyakit apa yang merupakan pembunuh terbesar kedua di Amerika Utara?
ENTY,dismed,What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?,Apa nama penyakit autoimun neurologis kronis yang menyerang selubung protein yang mengelilingi sel-sel saraf yang menyebabkan hilangnya gerakan secara bertahap dalam tubuh?
ENTY,dismed,What is a fear of strong light ?,Apa itu ketakutan akan cahaya yang kuat?
ENTY,dismed,What are the diseases that can be cured by black cumin ?,Apa saja penyakit yang bisa disembuhkan dengan jintan hitam?
ENTY,dismed,What is a fear of crystals or glass ?,Apa itu ketakutan akan kristal atau kaca?
ENTY,dismed,What chemicals are used in lethal injection ?,Bahan kimia apa yang digunakan dalam injeksi mematikan?
