Aktual;Predicted
ABBR;ABBR
ABBR;ABBR
ENTY;ENTY
ENTY;LOC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;LOC
LOC;LOC
LOC;HUM
LOC;ABBR
LOC;LOC
LOC;LOC
LOC;LOC
NUM;NUM
NUM;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;DESC
DESC;ABBR
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;DESC
DESC;ENTY
DESC;LOC
DESC;ENTY
DESC;ENTY
DESC;DESC
DESC;ENTY
DESC;ENTY
DESC;LOC
DESC;ENTY
DESC;DESC
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ABBR;ABBR
ABBR;DESC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;HUM
ENTY;ENTY
ENTY;ENTY
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;LOC
HUM;LOC
HUM;ENTY
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;LOC
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;DESC
HUM;ENTY
HUM;LOC
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;HUM
HUM;HUM
HUM;ENTY
HUM;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ABBR
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
LOC;ENTY
LOC;LOC
LOC;LOC
NUM;NUM
ENTY;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;LOC
LOC;ENTY
LOC;ENTY
LOC;ENTY
LOC;LOC
LOC;LOC
LOC;ENTY
LOC;LOC
LOC;LOC
LOC;ENTY
LOC;LOC
LOC;LOC
LOC;DESC
LOC;LOC
LOC;LOC
LOC;LOC
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;LOC
ENTY;DESC
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
DESC;DESC
DESC;DESC
DESC;ENTY
DESC;ENTY
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;DESC
DESC;ENTY
ENTY;LOC
NUM;NUM
NUM;NUM
ENTY;HUM
ENTY;ENTY
ENTY;HUM
ENTY;ENTY
LOC;LOC
LOC;LOC
LOC;ABBR
ENTY;ENTY
ENTY;ENTY
ENTY;DESC
ENTY;ENTY
ENTY;ENTY
ENTY;DESC
ENTY;LOC
ENTY;ENTY
ENTY;ENTY
NUM;DESC
NUM;ENTY
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
HUM;DESC
HUM;HUM
HUM;HUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
NUM;NUM
NUM;NUM
NUM;NUM
NUM;NUM
ENTY;ENTY
ENTY;ENTY
ENTY;ENTY
